Detector,Descriptor,Frame index,TTC lidar,TTC camera,TTC difference
HARRIS,BRISK,14,9.59863,11.2961,1.69748,
HARRIS,BRISK,15,8.57352,-14.7808,-23.3543,
HARRIS,BRISK,16,9.51617,6.65726,-2.85891,
HARRIS,BRISK,17,9.54658,12.5848,3.03826,
HARRIS,BRISK,18,8.3988,-inf,-inf,
HARRIS,BRIEF,1,12.5156,10.9082,-1.60738,
HARRIS,BRIEF,2,12.6142,11.0081,-1.6061,
HARRIS,BRIEF,3,14.091,-11.4731,-25.5642,
HARRIS,BRIEF,4,16.6894,11.3951,-5.29424,
HARRIS,BRIEF,5,15.9082,35.3833,19.475,
HARRIS,BRIEF,6,12.6787,15.2483,2.56955,
HARRIS,BRIEF,7,11.9844,14.2744,2.29005,
HARRIS,BRIEF,8,13.1241,13.5704,0.446298,
HARRIS,BRIEF,9,13.0241,3.90277,-9.12135,
HARRIS,BRIEF,10,11.1746,-inf,-inf,
HARRIS,BRIEF,11,12.8086,11.6702,-1.13837,
HARRIS,BRIEF,12,8.95978,11.6948,2.73503,
HARRIS,BRIEF,13,9.96439,14.1613,4.19696,
HARRIS,BRIEF,14,9.59863,5.66097,-3.93766,
HARRIS,BRIEF,15,8.57352,-inf,-inf,
HARRIS,BRIEF,16,9.51617,6.7641,-2.75207,
HARRIS,BRIEF,17,9.54658,12.5848,3.03826,
HARRIS,BRIEF,18,8.3988,-inf,-inf,
HARRIS,ORB,1,12.5156,10.9082,-1.60738,
HARRIS,ORB,2,12.6142,11.0081,-1.6061,
HARRIS,ORB,3,14.091,-11.4731,-25.5642,
HARRIS,ORB,4,16.6894,11.3951,-5.29424,
HARRIS,ORB,5,15.9082,34.1473,18.239,
HARRIS,ORB,6,12.6787,13.6217,0.942989,
HARRIS,ORB,7,11.9844,13.497,1.51263,
HARRIS,ORB,8,13.1241,13.5704,0.446298,
HARRIS,ORB,9,13.0241,14.2079,1.18381,
HARRIS,ORB,10,11.1746,-inf,-inf,
HARRIS,ORB,11,12.8086,11.6702,-1.13837,
HARRIS,ORB,12,8.95978,11.6948,2.73503,
HARRIS,ORB,13,9.96439,13.9608,3.99644,
HARRIS,ORB,14,9.59863,6.06984,-3.52879,
HARRIS,ORB,15,8.57352,-inf,-inf,
HARRIS,ORB,16,9.51617,6.71705,-2.79912,
HARRIS,ORB,17,9.54658,12.5848,3.03826,
HARRIS,ORB,18,8.3988,-inf,-inf,
HARRIS,FREAK,1,12.5156,8.81335,-3.70225,
HARRIS,FREAK,2,12.6142,10.195,-2.41922,
HARRIS,FREAK,3,14.091,-10.295,-24.386,
HARRIS,FREAK,4,16.6894,11.7693,-4.92006,
HARRIS,FREAK,5,15.9082,44.9166,29.0084,
HARRIS,FREAK,6,12.6787,13.5599,0.881141,
HARRIS,FREAK,7,11.9844,13.497,1.51263,
HARRIS,FREAK,8,13.1241,12.9162,-0.207908,
HARRIS,FREAK,9,13.0241,15.4179,2.39381,
HARRIS,FREAK,10,11.1746,10.6219,-0.552736,
HARRIS,FREAK,11,12.8086,11.6702,-1.13837,
HARRIS,FREAK,12,8.95978,11.6948,2.73503,
HARRIS,FREAK,13,9.96439,13.9608,3.99644,
HARRIS,FREAK,14,9.59863,12.1403,2.54162,
HARRIS,FREAK,15,8.57352,-inf,-inf,
HARRIS,FREAK,16,9.51617,6.6376,-2.87857,
HARRIS,FREAK,17,9.54658,nan,nan,
HARRIS,FREAK,18,8.3988,nan,nan,
HARRIS,SIFT,1,12.5156,10.9082,-1.60738,
HARRIS,SIFT,2,12.6142,52.7952,40.1809,
HARRIS,SIFT,3,14.091,-80.8525,-94.9435,
HARRIS,SIFT,4,16.6894,11.3951,-5.29424,
HARRIS,SIFT,5,15.9082,13.6432,-2.26503,
HARRIS,SIFT,6,12.6787,27.8744,15.1957,
HARRIS,SIFT,7,11.9844,13.497,1.51263,
HARRIS,SIFT,8,13.1241,13.5704,0.446298,
HARRIS,SIFT,9,13.0241,12.9165,-0.107644,
HARRIS,SIFT,10,11.1746,-inf,-inf,
HARRIS,SIFT,11,12.8086,11.2142,-1.59438,
HARRIS,SIFT,12,8.95978,11.6948,2.73503,
HARRIS,SIFT,13,9.96439,13.9608,3.99644,
HARRIS,SIFT,14,9.59863,8.87966,-0.71897,
HARRIS,SIFT,15,8.57352,-inf,-inf,
HARRIS,SIFT,16,9.51617,7.29175,-2.22442,
HARRIS,SIFT,17,9.54658,12.5848,3.03826,
HARRIS,SIFT,18,8.3988,-inf,-inf,
FAST,BRISK,1,12.5156,12.6908,0.175229,
FAST,BRISK,2,12.6142,12.3534,-0.260875,
FAST,BRISK,3,14.091,12.3379,-1.75315,
FAST,BRISK,4,16.6894,12.7,-3.98938,
FAST,BRISK,5,15.9082,13.8295,-2.07872,
FAST,BRISK,6,12.6787,12.1823,-0.49641,
FAST,BRISK,7,11.9844,12.9291,0.944752,
FAST,BRISK,8,13.1241,12.3971,-0.726994,
FAST,BRISK,9,13.0241,12.4101,-0.614025,
FAST,BRISK,10,11.1746,13.8255,2.65082,
FAST,BRISK,11,12.8086,12.0998,-0.708807,
FAST,BRISK,12,8.95978,12.5921,3.63229,
FAST,BRISK,13,9.96439,11.6909,1.72648,
FAST,BRISK,14,9.59863,11.5009,1.90224,
FAST,BRISK,15,8.57352,11.1439,2.57042,
FAST,BRISK,16,9.51617,11.1636,1.64743,
FAST,BRISK,17,9.54658,10.5164,0.969849,
FAST,BRISK,18,8.3988,11.7623,3.36349,
FAST,BRIEF,1,12.5156,11.7503,-0.765342,
FAST,BRIEF,2,12.6142,11.7583,-0.855914,
FAST,BRIEF,3,14.091,13.955,-0.13597,
FAST,BRIEF,4,16.6894,13.1309,-3.55846,
FAST,BRIEF,5,15.9082,14.8298,-1.07848,
FAST,BRIEF,6,12.6787,13.5942,0.915441,
FAST,BRIEF,7,11.9844,13.2774,1.29309,
FAST,BRIEF,8,13.1241,12.7749,-0.349179,
FAST,BRIEF,9,13.0241,12.8008,-0.22334,
FAST,BRIEF,10,11.1746,13.0092,1.83461,
FAST,BRIEF,11,12.8086,11.8702,-0.938388,
FAST,BRIEF,12,8.95978,11.5256,2.56577,
FAST,BRIEF,13,9.96439,11.7066,1.74217,
FAST,BRIEF,14,9.59863,10.6452,1.04653,
FAST,BRIEF,15,8.57352,11.5312,2.95764,
FAST,BRIEF,16,9.51617,10.323,0.806865,
FAST,BRIEF,17,9.54658,9.89452,0.347944,
FAST,BRIEF,18,8.3988,11.5081,3.10927,
FAST,ORB,1,12.5156,11.4727,-1.04291,
FAST,ORB,2,12.6142,11.9439,-0.670298,
FAST,ORB,3,14.091,11.6627,-2.42836,
FAST,ORB,4,16.6894,12.9669,-3.72248,
FAST,ORB,5,15.9082,13.5673,-2.34094,
FAST,ORB,6,12.6787,12.2996,-0.379126,
FAST,ORB,7,11.9844,13.5054,1.52106,
FAST,ORB,8,13.1241,12.439,-0.685107,
FAST,ORB,9,13.0241,12.1788,-0.845318,
FAST,ORB,10,11.1746,13.2095,2.03487,
FAST,ORB,11,12.8086,11.8507,-0.95793,
FAST,ORB,12,8.95978,11.267,2.30726,
FAST,ORB,13,9.96439,11.5372,1.57284,
FAST,ORB,14,9.59863,10.6529,1.05426,
FAST,ORB,15,8.57352,10.0177,1.44417,
FAST,ORB,16,9.51617,10.2876,0.771399,
FAST,ORB,17,9.54658,9.67816,0.131577,
FAST,ORB,18,8.3988,11.2664,2.86764,
FAST,FREAK,1,12.5156,12.0538,-0.461774,
FAST,FREAK,2,12.6142,12.6011,-0.0131201,
FAST,FREAK,3,14.091,13.2302,-0.860809,
FAST,FREAK,4,16.6894,13.7727,-2.91666,
FAST,FREAK,5,15.9082,13.0459,-2.86235,
FAST,FREAK,6,12.6787,12.1987,-0.480041,
FAST,FREAK,7,11.9844,12.9963,1.01196,
FAST,FREAK,8,13.1241,12.5528,-0.571325,
FAST,FREAK,9,13.0241,12.8937,-0.130429,
FAST,FREAK,10,11.1746,12.8249,1.65026,
FAST,FREAK,11,12.8086,12.2504,-0.558236,
FAST,FREAK,12,8.95978,12.1867,3.22694,
FAST,FREAK,13,9.96439,11.5554,1.59102,
FAST,FREAK,14,9.59863,11.0837,1.48506,
FAST,FREAK,15,8.57352,11.1409,2.56733,
FAST,FREAK,16,9.51617,11.2241,1.70791,
FAST,FREAK,17,9.54658,10.3661,0.819519,
FAST,FREAK,18,8.3988,11.5605,3.16173,
FAST,SIFT,1,12.5156,12.2747,-0.240918,
FAST,SIFT,2,12.6142,11.3986,-1.21566,
FAST,SIFT,3,14.091,14.0617,-0.029332,
FAST,SIFT,4,16.6894,13.1232,-3.56622,
FAST,SIFT,5,15.9082,14.3505,-1.55771,
FAST,SIFT,6,12.6787,12.828,0.1493,
FAST,SIFT,7,11.9844,12.409,0.424632,
FAST,SIFT,8,13.1241,12.6899,-0.434183,
FAST,SIFT,9,13.0241,12.5506,-0.473529,
FAST,SIFT,10,11.1746,12.6708,1.49619,
FAST,SIFT,11,12.8086,11.8062,-1.00239,
FAST,SIFT,12,8.95978,11.1726,2.21287,
FAST,SIFT,13,9.96439,11.5632,1.59876,
FAST,SIFT,14,9.59863,11.3432,1.74454,
FAST,SIFT,15,8.57352,10.8743,2.30076,
FAST,SIFT,16,9.51617,10.1671,0.650893,
FAST,SIFT,17,9.54658,9.44427,-0.102313,
FAST,SIFT,18,8.3988,10.6624,2.26362,
BRISK,BRISK,1,12.5156,13.4086,0.893008,
BRISK,BRISK,2,12.6142,21.5276,8.9134,
BRISK,BRISK,3,14.091,12.625,-1.46601,
BRISK,BRISK,4,16.6894,15.2037,-1.48564,
BRISK,BRISK,5,15.9082,27.6679,11.7597,
BRISK,BRISK,6,12.6787,18.3114,5.63273,
BRISK,BRISK,7,11.9844,17.1427,5.15834,
BRISK,BRISK,8,13.1241,16.0991,2.97495,
BRISK,BRISK,9,13.0241,14.801,1.77691,
BRISK,BRISK,10,11.1746,13.9297,2.75505,
BRISK,BRISK,11,12.8086,13.1359,0.327275,
BRISK,BRISK,12,8.95978,11.3409,2.38113,
BRISK,BRISK,13,9.96439,11.8565,1.89211,
BRISK,BRISK,14,9.59863,12.3978,2.79915,
BRISK,BRISK,15,8.57352,12.7089,4.13539,
BRISK,BRISK,16,9.51617,11.503,1.98687,
BRISK,BRISK,17,9.54658,9.29379,-0.252789,
BRISK,BRISK,18,8.3988,10.7753,2.37649,
BRISK,BRIEF,1,12.5156,12.8448,0.329151,
BRISK,BRIEF,2,12.6142,16.8618,4.2476,
BRISK,BRIEF,3,14.091,11.6672,-2.42379,
BRISK,BRIEF,4,16.6894,20.5725,3.88311,
BRISK,BRIEF,5,15.9082,19.7052,3.79695,
BRISK,BRIEF,6,12.6787,17.5642,4.88549,
BRISK,BRIEF,7,11.9844,15.5809,3.5965,
BRISK,BRIEF,8,13.1241,18.7451,5.62094,
BRISK,BRIEF,9,13.0241,15.4585,2.43438,
BRISK,BRIEF,10,11.1746,11.4809,0.306308,
BRISK,BRIEF,11,12.8086,13.3636,0.555024,
BRISK,BRIEF,12,8.95978,14.3071,5.34729,
BRISK,BRIEF,13,9.96439,12.3266,2.36225,
BRISK,BRIEF,14,9.59863,10.9457,1.34706,
BRISK,BRIEF,15,8.57352,11.6289,3.05541,
BRISK,BRIEF,16,9.51617,12.1739,2.65772,
BRISK,BRIEF,17,9.54658,11.3792,1.83263,
BRISK,BRIEF,18,8.3988,10.7022,2.30337,
BRISK,ORB,1,12.5156,14.8431,2.3275,
BRISK,ORB,2,12.6142,18.7802,6.166,
BRISK,ORB,3,14.091,13.2755,-0.815493,
BRISK,ORB,4,16.6894,16.3966,-0.292827,
BRISK,ORB,5,15.9082,20.1467,4.23848,
BRISK,ORB,6,12.6787,19.9254,7.24672,
BRISK,ORB,7,11.9844,18.2074,6.22308,
BRISK,ORB,8,13.1241,16.9607,3.83656,
BRISK,ORB,9,13.0241,14.5576,1.53346,
BRISK,ORB,10,11.1746,11.3267,0.15201,
BRISK,ORB,11,12.8086,13.3173,0.508659,
BRISK,ORB,12,8.95978,11.3844,2.42461,
BRISK,ORB,13,9.96439,11.8035,1.83914,
BRISK,ORB,14,9.59863,12.7655,3.16692,
BRISK,ORB,15,8.57352,11.2164,2.64286,
BRISK,ORB,16,9.51617,11.5484,2.03224,
BRISK,ORB,17,9.54658,10.2454,0.698814,
BRISK,ORB,18,8.3988,11.2957,2.89694,
BRISK,FREAK,1,12.5156,12.7574,0.241844,
BRISK,FREAK,2,12.6142,24.137,11.5228,
BRISK,FREAK,3,14.091,13.9605,-0.130522,
BRISK,FREAK,4,16.6894,13.9445,-2.74486,
BRISK,FREAK,5,15.9082,23.0655,7.15728,
BRISK,FREAK,6,12.6787,16.8726,4.19391,
BRISK,FREAK,7,11.9844,15.5199,3.53557,
BRISK,FREAK,8,13.1241,18.7996,5.67552,
BRISK,FREAK,9,13.0241,14.9704,1.94626,
BRISK,FREAK,10,11.1746,13.7428,2.56811,
BRISK,FREAK,11,12.8086,12.8798,0.0712148,
BRISK,FREAK,12,8.95978,11.4488,2.48906,
BRISK,FREAK,13,9.96439,11.4362,1.4718,
BRISK,FREAK,14,9.59863,11.2969,1.69826,
BRISK,FREAK,15,8.57352,13.3364,4.76292,
BRISK,FREAK,16,9.51617,10.3718,0.855642,
BRISK,FREAK,17,9.54658,9.33041,-0.216168,
BRISK,FREAK,18,8.3988,10.9372,2.53843,
BRISK,SIFT,1,12.5156,12.9834,0.467761,
BRISK,SIFT,2,12.6142,16.0654,3.45117,
BRISK,SIFT,3,14.091,16.6949,2.60387,
BRISK,SIFT,4,16.6894,12.5648,-4.12457,
BRISK,SIFT,5,15.9082,26.3307,10.4225,
BRISK,SIFT,6,12.6787,14.504,1.82532,
BRISK,SIFT,7,11.9844,13.9956,2.01125,
BRISK,SIFT,8,13.1241,17.0214,3.89726,
BRISK,SIFT,9,13.0241,17.8988,4.87469,
BRISK,SIFT,10,11.1746,14.6452,3.47054,
BRISK,SIFT,11,12.8086,15.9755,3.16693,
BRISK,SIFT,12,8.95978,11.7122,2.7524,
BRISK,SIFT,13,9.96439,13.3127,3.34831,
BRISK,SIFT,14,9.59863,10.5612,0.962616,
BRISK,SIFT,15,8.57352,14.2108,5.63726,
BRISK,SIFT,16,9.51617,11.0325,1.51631,
BRISK,SIFT,17,9.54658,10.1474,0.600803,
BRISK,SIFT,18,8.3988,12.3189,3.92008,
ORB,BRISK,1,12.5156,14.8291,2.31346,
ORB,BRISK,2,12.6142,12.843,0.228722,
ORB,BRISK,3,14.091,12.6207,-1.47036,
ORB,BRISK,4,16.6894,26.6829,9.99349,
ORB,BRISK,5,15.9082,94.009,78.1008,
ORB,BRISK,6,12.6787,11.5438,-1.13495,
ORB,BRISK,7,11.9844,15.9607,3.97637,
ORB,BRISK,8,13.1241,10.9433,-2.18086,
ORB,BRISK,9,13.0241,13.1285,0.104423,
ORB,BRISK,10,11.1746,19.472,8.29735,
ORB,BRISK,11,12.8086,8.34928,-4.45932,
ORB,BRISK,12,8.95978,-inf,-inf,
ORB,BRISK,13,9.96439,7.8653,-2.09909,
ORB,BRISK,14,9.59863,9.58532,-0.0133071,
ORB,BRISK,15,8.57352,8.72363,0.150102,
ORB,BRISK,16,9.51617,13.2755,3.7593,
ORB,BRISK,17,9.54658,12.4886,2.94201,
ORB,BRISK,18,8.3988,27.095,18.6962,
ORB,BRIEF,1,12.5156,20.11,7.59443,
ORB,BRIEF,2,12.6142,47.4568,34.8425,
ORB,BRIEF,3,14.091,88.5333,74.4423,
ORB,BRIEF,4,16.6894,14.267,-2.42234,
ORB,BRIEF,5,15.9082,22.8072,6.89892,
ORB,BRIEF,6,12.6787,15.1309,2.4522,
ORB,BRIEF,7,11.9844,55.1976,43.2132,
ORB,BRIEF,8,13.1241,47.6784,34.5543,
ORB,BRIEF,9,13.0241,70.7145,57.6904,
ORB,BRIEF,10,11.1746,18.6932,7.51856,
ORB,BRIEF,11,12.8086,17.8506,5.04195,
ORB,BRIEF,12,8.95978,14.1185,5.15872,
ORB,BRIEF,13,9.96439,13.037,3.07265,
ORB,BRIEF,14,9.59863,9.93181,0.333182,
ORB,BRIEF,15,8.57352,8.816,0.242472,
ORB,BRIEF,16,9.51617,11.0511,1.53497,
ORB,BRIEF,17,9.54658,13.442,3.89542,
ORB,BRIEF,18,8.3988,19.7379,11.3391,
ORB,ORB,1,12.5156,19.4626,6.94701,
ORB,ORB,2,12.6142,11.6187,-0.995518,
ORB,ORB,3,14.091,17.2482,3.15715,
ORB,ORB,4,16.6894,20.001,3.31164,
ORB,ORB,5,15.9082,39.391,23.4828,
ORB,ORB,6,12.6787,40.986,28.3073,
ORB,ORB,7,11.9844,-inf,-inf,
ORB,ORB,8,13.1241,10.6652,-2.45892,
ORB,ORB,9,13.0241,141.212,128.188,
ORB,ORB,10,11.1746,23.1598,11.9852,
ORB,ORB,11,12.8086,9.15809,-3.65051,
ORB,ORB,12,8.95978,26.0409,17.0811,
ORB,ORB,13,9.96439,9.47693,-0.487457,
ORB,ORB,14,9.59863,9.78295,0.184321,
ORB,ORB,15,8.57352,12.7351,4.1616,
ORB,ORB,16,9.51617,10.4572,0.941067,
ORB,ORB,17,9.54658,16.6667,7.12015,
ORB,ORB,18,8.3988,32.5198,24.121,
ORB,FREAK,1,12.5156,11.0373,-1.47834,
ORB,FREAK,2,12.6142,15.6306,3.0164,
ORB,FREAK,3,14.091,17.5125,3.42153,
ORB,FREAK,4,16.6894,10.9448,-5.74454,
ORB,FREAK,5,15.9082,-inf,-inf,
ORB,FREAK,6,12.6787,11.5438,-1.13495,
ORB,FREAK,7,11.9844,-inf,-inf,
ORB,FREAK,8,13.1241,9.02151,-4.10261,
ORB,FREAK,9,13.0241,13.3112,0.287043,
ORB,FREAK,10,11.1746,-inf,-inf,
ORB,FREAK,11,12.8086,7.24512,-5.56348,
ORB,FREAK,12,8.95978,35.8486,26.8888,
ORB,FREAK,13,9.96439,6.5346,-3.42979,
ORB,FREAK,14,9.59863,54.268,44.6694,
ORB,FREAK,15,8.57352,8.68208,0.108551,
ORB,FREAK,16,9.51617,8.7674,-0.74877,
ORB,FREAK,17,9.54658,11.3219,1.77534,
ORB,FREAK,18,8.3988,16.8655,8.4667,
ORB,SIFT,1,12.5156,12.903,0.387398,
ORB,SIFT,2,12.6142,10.5458,-2.06847,
ORB,SIFT,3,14.091,11.7674,-2.32362,
ORB,SIFT,4,16.6894,209.183,192.494,
ORB,SIFT,5,15.9082,167.629,151.721,
ORB,SIFT,6,12.6787,23.3305,10.6518,
ORB,SIFT,7,11.9844,-inf,-inf,
ORB,SIFT,8,13.1241,10.4477,-2.67643,
ORB,SIFT,9,13.0241,13.9168,0.892634,
ORB,SIFT,10,11.1746,12.7281,1.55342,
ORB,SIFT,11,12.8086,10.1214,-2.68723,
ORB,SIFT,12,8.95978,-inf,-inf,
ORB,SIFT,13,9.96439,7.8653,-2.09909,
ORB,SIFT,14,9.59863,18.4901,8.89145,
ORB,SIFT,15,8.57352,16.5521,7.97855,
ORB,SIFT,16,9.51617,9.50038,-0.0157915,
ORB,SIFT,17,9.54658,18.7061,9.15952,
ORB,SIFT,18,8.3988,11.2833,2.88446,
AKAZE,AKAZE,1,12.5156,12.3444,-0.171208,
AKAZE,AKAZE,2,12.6142,14.0983,1.48408,
AKAZE,AKAZE,3,14.091,12.8828,-1.20818,
AKAZE,AKAZE,4,16.6894,14.4781,-2.21132,
AKAZE,AKAZE,5,15.9082,16.7468,0.838524,
AKAZE,AKAZE,6,12.6787,13.8675,1.18879,
AKAZE,AKAZE,7,11.9844,15.3448,3.36044,
AKAZE,AKAZE,8,13.1241,14.1378,1.01365,
AKAZE,AKAZE,9,13.0241,13.8398,0.815652,
AKAZE,AKAZE,10,11.1746,11.5483,0.373644,
AKAZE,AKAZE,11,12.8086,12.1341,-0.674506,
AKAZE,AKAZE,12,8.95978,11.0554,2.09557,
AKAZE,AKAZE,13,9.96439,11.2852,1.32083,
AKAZE,AKAZE,14,9.59863,10.5842,0.985564,
AKAZE,AKAZE,15,8.57352,10.1989,1.62537,
AKAZE,AKAZE,16,9.51617,9.81256,0.296389,
AKAZE,AKAZE,17,9.54658,9.06452,-0.482057,
AKAZE,AKAZE,18,8.3988,8.97386,0.575053,
SIFT,BRISK,1,12.5156,11.6783,-0.83731,
SIFT,BRISK,2,12.6142,13.3293,0.715059,
SIFT,BRISK,3,14.091,14.4777,0.386726,
SIFT,BRISK,4,16.6894,18.9431,2.25374,
SIFT,BRISK,5,15.9082,14.9077,-1.00052,
SIFT,BRISK,6,12.6787,11.5723,-1.1064,
SIFT,BRISK,7,11.9844,14.3811,2.39678,
SIFT,BRISK,8,13.1241,15.5623,2.43819,
SIFT,BRISK,9,13.0241,13.0591,0.0349536,
SIFT,BRISK,10,11.1746,10.8444,-0.330288,
SIFT,BRISK,11,12.8086,13.2358,0.427184,
SIFT,BRISK,12,8.95978,10.2965,1.33672,
SIFT,BRISK,13,9.96439,9.98871,0.0243234,
SIFT,BRISK,14,9.59863,9.55257,-0.0460551,
SIFT,BRISK,15,8.57352,9.46445,0.890921,
SIFT,BRISK,16,9.51617,8.76693,-0.74924,
SIFT,BRISK,17,9.54658,9.51651,-0.030068,
SIFT,BRISK,18,8.3988,8.91674,0.517932,
SIFT,BRIEF,1,12.5156,12.0824,-0.433226,
SIFT,BRIEF,2,12.6142,14.2362,1.62192,
